fk_euv,fecha_recepcion,fecha_hechos,SubtipoOrd,dependencia,pk_dependencia,MunHecho
3117600116,19/02/2018,02/06/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600117,19/02/2018,23/06/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600118,19/02/2018,09/07/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600119,19/02/2018,24/06/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600120,19/02/2018,09/06/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600122,19/02/2018,25/08/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600124,19/02/2018,15/11/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600125,19/02/2018,17/06/2015,Emergencia,PODER JUDICIAL,176,Río Lagartos
3117600126,19/02/2018,22/06/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600127,19/02/2018,16/11/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600128,20/02/2018,24/06/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600131,20/02/2018,06/08/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117600130,20/02/2018,24/06/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600132,20/02/2018,07/08/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117600134,20/02/2018,15/11/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600133,20/02/2018,26/06/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600135,20/02/2018,28/06/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600137,20/02/2018,22/08/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600138,20/02/2018,22/06/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600140,21/02/2018,13/04/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600141,21/02/2018,18/11/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600142,21/02/2018,09/08/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600143,21/02/2018,14/08/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600144,21/02/2018,02/06/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117600145,21/02/2018,04/03/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117600146,21/02/2018,23/08/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600091,14/02/2018,16/03/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600091,14/02/2018,16/03/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600149,21/02/2018,30/08/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600150,21/02/2018,13/09/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117206255,21/02/2018,15/01/2018,Emergencia,SECRETARIA DE LAS MUJERES,172,Mérida
3117600152,21/02/2018,19/09/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600151,21/02/2018,28/05/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117600151,21/02/2018,28/05/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117600153,21/02/2018,10/05/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117600155,21/02/2018,20/09/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600156,21/02/2018,21/09/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600157,21/02/2018,26/09/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600158,21/02/2018,12/10/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117206289,21/02/2018,16/01/2018,Emergencia,PODER JUDICIAL,176,Kanasín
3117600159,22/02/2018,30/08/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600161,22/02/2018,19/10/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600160,22/02/2018,02/10/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600162,22/02/2018,09/11/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600163,22/02/2018,10/11/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600164,22/02/2018,14/11/2015,Emergencia,PODER JUDICIAL,176,Tizimín
